sequence,real_score,delta:synonymous recode,delta:codon-order shuffle,delta:frameshift +1,delta:frameshift +2,delta:reverse complement,delta:dinucleotide shuffle,delta:mononucleotide shuffle,delta:stop in frame,delta:stop out of frame
ADRB2_HUMAN_Jones_2020,-1.332629,0.070308,0.016788,0.100488,0.096462,0.011427,0.070644,0.133960,0.002870,0.000739
AMIE_PSEAE_Wrenbeck_2017,-1.368373,0.005876,0.009006,0.143631,0.070226,0.026173,0.080877,0.089115,0.002409,0.000098
BLAT_ECOLX_Deng_2012,-1.375953,0.030665,0.015668,0.074843,0.094034,0.045497,0.068209,0.068561,0.002788,0.000159
CALM1_HUMAN_Weile_2017,-1.288122,0.051399,0.018537,0.137524,0.189942,0.074028,0.100357,0.139498,0.003798,-0.001609
CCDB_ECOLI_Tripathi_2016,-1.343657,0.065634,0.000165,0.100175,0.146384,0.035853,0.121879,0.108814,0.010356,0.003501
CP2C9_HUMAN_Amorosi_abundance_2021,-1.318259,0.066783,0.022208,0.087046,0.096905,0.036943,0.077814,0.123022,0.002187,0.000304
DYR_ECOLI_Thompson_plusLon_2019,-1.368056,0.024290,-0.007111,0.105636,0.092281,0.025776,0.077620,0.094101,0.005343,0.000909
ESTA_BACSU_Nutschel_2020,-1.365183,0.020271,0.020002,0.082666,0.061790,0.048538,0.066369,0.071750,0.004018,0.001399
I6TAH8_I68A0_Doud_2015,-1.333178,0.043929,0.025332,0.083115,0.079633,0.054820,0.073543,0.115669,0.001558,0.000649
IF1_ECOLI_Kelsic_2016,-1.357486,0.030209,0.006842,0.154036,0.134237,0.030871,0.089611,0.109266,0.005540,0.000428
KKA2_KLEPN_Melnikov_2014,-1.361806,0.041269,0.010978,0.080027,0.111437,0.028696,0.073869,0.108969,0.002296,-0.000323
MK01_HUMAN_Brenan_2016,-1.334652,0.068106,0.014722,0.094455,0.099109,0.037661,0.094518,0.110949,0.000137,-0.000951
NCAP_I34A1_Doud_2015,-1.338833,0.045613,0.024563,0.075949,0.076967,0.052404,0.069054,0.112255,0.001565,0.000603
NUD15_HUMAN_Suiter_2020,-1.332962,0.072029,0.029167,0.051799,0.075720,0.044561,0.042680,0.102634,0.003240,-0.000406
PTEN_HUMAN_Matreyek_2021,-1.340374,0.036172,0.011289,0.064374,0.130638,0.051298,0.084247,0.102081,0.002166,0.000204
ParD3_Lite_2020,-1.348956,0.052889,-0.009590,0.112400,0.066406,0.065468,0.024672,0.071145,0.012072,0.006269
RASH_HUMAN_Bandaru_2017,-1.321446,0.070777,0.024465,0.127111,0.104690,0.054632,0.100127,0.140637,0.003081,-0.000121
RL401_YEAST_Mavor_2016,-1.357893,0.046636,0.029378,0.045869,0.060934,0.039106,0.010930,0.094507,0.007124,0.003425
SUMO1_HUMAN_Weile_2017,-1.319376,0.010433,0.003489,0.063541,0.114991,0.054826,0.064774,0.115704,0.008556,0.001656
TAT_HV1BR_Fernandes_2016,-1.413966,-0.018001,0.004264,-0.026396,0.001167,0.015124,-0.018658,0.024423,0.002779,-0.004463
TPK1_HUMAN_Weile_2017,-1.338000,0.059328,0.021321,0.076239,0.090777,0.031486,0.072752,0.126569,0.003218,0.000826
TPMT_HUMAN_Matreyek_2018,-1.343761,0.032254,0.014720,0.038482,0.104412,0.040924,0.065090,0.130201,0.003849,0.000891
TRPC_SACS2_Chan_2017,-1.377771,0.000680,-0.002661,0.104942,0.090124,0.082637,0.042589,0.101960,0.004494,0.001935
VKOR1_HUMAN_Chiasson_abundance_2020,-1.371269,0.066796,0.026655,0.089470,0.040889,0.004821,0.051979,0.078247,0.006708,0.001535
